Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for bsd-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:35:04 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(4194304k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseSerialGC 
0.966: [GC0.966: [DefNew: 418K->34K(448K), 0.0002020 secs] 1149K->770K(1048512K), 0.0002620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.975: [GC0.975: [DefNew: 418K->35K(448K), 0.0001890 secs] 1154K->774K(1048512K), 0.0002460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.985: [GC0.985: [DefNew: 419K->34K(448K), 0.0001910 secs] 1158K->778K(1048512K), 0.0002450 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.994: [GC0.994: [DefNew: 418K->35K(448K), 0.0001680 secs] 1162K->783K(1048512K), 0.0002190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.003: [GC1.003: [DefNew: 419K->35K(448K), 0.0001980 secs] 1167K->787K(1048512K), 0.0002530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.012: [GC1.012: [DefNew: 419K->34K(448K), 0.0002150 secs] 1171K->791K(1048512K), 0.0002800 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.022: [GC1.022: [DefNew: 418K->34K(448K), 0.0001850 secs] 1175K->796K(1048512K), 0.0002460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.031: [GC1.031: [DefNew: 418K->41K(448K), 0.0002660 secs] 1180K->807K(1048512K), 0.0003290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.039: [GC1.039: [DefNew: 425K->32K(448K), 0.0002340 secs] 1191K->811K(1048512K), 0.0003000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.048: [GC1.048: [DefNew: 416K->32K(448K), 0.0002060 secs] 1195K->815K(1048512K), 0.0002670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.058: [GC1.058: [DefNew: 416K->33K(448K), 0.0001910 secs] 1199K->820K(1048512K), 0.0002470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.067: [GC1.067: [DefNew: 417K->33K(448K), 0.0001880 secs] 1204K->824K(1048512K), 0.0002430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.076: [GC1.076: [DefNew: 416K->33K(448K), 0.0001470 secs] 1208K->828K(1048512K), 0.0001970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.085: [GC1.085: [DefNew: 417K->25K(448K), 0.0002060 secs] 1212K->832K(1048512K), 0.0002650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.094: [GC1.094: [DefNew: 409K->29K(448K), 0.0001730 secs] 1216K->836K(1048512K), 0.0002340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.104: [GC1.104: [DefNew: 413K->33K(448K), 0.0001800 secs] 1220K->841K(1048512K), 0.0002380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.113: [GC1.113: [DefNew: 417K->34K(448K), 0.0001860 secs] 1224K->845K(1048512K), 0.0002400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.122: [GC1.122: [DefNew: 418K->33K(448K), 0.0001900 secs] 1229K->849K(1048512K), 0.0002500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.131: [GC1.131: [DefNew: 417K->33K(448K), 0.0001660 secs] 1233K->853K(1048512K), 0.0002340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.141: [GC1.141: [DefNew: 417K->34K(448K), 0.0001870 secs] 1237K->858K(1048512K), 0.0002440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.150: [GC1.150: [DefNew: 418K->34K(448K), 0.0001490 secs] 1242K->862K(1048512K), 0.0001930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.159: [GC1.159: [DefNew: 418K->35K(448K), 0.0003620 secs] 1246K->867K(1048512K), 0.0004740 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.168: [GC1.168: [DefNew: 419K->34K(448K), 0.0001460 secs] 1251K->871K(1048512K), 0.0001880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.177: [GC1.177: [DefNew: 418K->34K(448K), 0.0002000 secs] 1255K->875K(1048512K), 0.0002530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.186: [GC1.186: [DefNew: 418K->35K(448K), 0.0001340 secs] 1258K->879K(1048512K), 0.0001880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.195: [GC1.195: [DefNew: 419K->35K(448K), 0.0001890 secs] 1263K->884K(1048512K), 0.0002430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.204: [GC1.204: [DefNew: 419K->34K(448K), 0.0001540 secs] 1268K->888K(1048512K), 0.0001980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.213: [GC1.213: [DefNew: 418K->34K(448K), 0.0001430 secs] 1272K->892K(1048512K), 0.0001980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.222: [GC1.222: [DefNew: 417K->34K(448K), 0.0001370 secs] 1276K->896K(1048512K), 0.0001880 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.231: [GC1.231: [DefNew: 418K->34K(448K), 0.0001850 secs] 1280K->901K(1048512K), 0.0002360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.241: [GC1.241: [DefNew: 418K->35K(448K), 0.0001590 secs] 1285K->906K(1048512K), 0.0002040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.250: [GC1.250: [DefNew: 419K->35K(448K), 0.0001510 secs] 1290K->910K(1048512K), 0.0001940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.259: [GC1.259: [DefNew: 419K->35K(448K), 0.0002180 secs] 1294K->915K(1048512K), 0.0002730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.269: [GC1.269: [DefNew: 419K->35K(448K), 0.0002020 secs] 1299K->919K(1048512K), 0.0002650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.278: [GC1.278: [DefNew: 419K->36K(448K), 0.0001500 secs] 1303K->924K(1048512K), 0.0001980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.287: [GC1.287: [DefNew: 420K->31K(448K), 0.0001600 secs] 1308K->928K(1048512K), 0.0001990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.296: [GC1.296: [DefNew: 415K->35K(448K), 0.0001440 secs] 1312K->932K(1048512K), 0.0001830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.305: [GC1.305: [DefNew: 419K->34K(448K), 0.0001720 secs] 1316K->936K(1048512K), 0.0002160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.315: [GC1.315: [DefNew: 418K->34K(448K), 0.0001500 secs] 1320K->940K(1048512K), 0.0001870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.324: [GC1.324: [DefNew: 418K->34K(448K), 0.0001750 secs] 1324K->944K(1048512K), 0.0002200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
